AÑO,ARTICULO,GRAMOS POR PERSONAS,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
2016,Arroz,55,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
2016,Carnes 1_ /,60,0.46,0.46,0.46,0.45,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46
2016,Grasas 2 _ /,33,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07
2016,Huevos,28,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2016,Leche Fluida *,106,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2016,Frutas 3_ /,157,0.13,0.12,0.13,0.12,0.13,0.12,0.13,0.13,0.13,0.13,0.12,0.12
2016,Frijoles,79,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14
2016,Verduras 4_ /,127,0.2,0.2,0.18,0.17,0.18,0.18,0.18,0.17,0.16,0.16,0.16,0.15
2016,Azúcar,69,0.07,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
2017,Pan Francés,49,0.11,0.12,0.11,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12
2017,Tortillas,223,0.19,0.19,0.18,0.2,0.17,0.18,0.19,0.18,0.18,0.18,0.18,0.18
2017,Arroz,55,0.07,0.07,0.07,0.07,0.07,0.08,0.07,0.07,0.07,0.07,0.07,0.07
2017,Carnes 1_ /,60,0.46,0.46,0.46,0.45,0.46,0.45,0.45,0.45,0.45,0.45,0.45,0.45
2017,Grasas 2 _ /,33,0.08,0.07,0.08,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2017,Huevos,28,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09
2017,Leche Fluida *,106,0.1,0.1,0.1,0.09,0.09,0.1,0.1,0.1,0.09,0.09,0.1,0.1
2017,Frutas 3_ /,157,0.12,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.14
2017,Frijoles,79,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.14
